Advertiser Id,Campaign ID,Pricing Type,RO ID,Impressions,Clicks,Budget Consumed,PDP Views,PLP Views,Add to Cart,Add to Wishlist,Attributed Revenue,Direct Revenue,Indirect Revenue,Direct Quantity,Indirect Quantity,Total Quantity,ROI,Campaign Name,Campaign Start Date,Campaign End Date,Campaign Status,Campaign Budget in Currency,Business Unit,Advertiser Name,Business Account Id,Business Account Name,Self Serve Flag,Entity Details Flag,Brand Code,Brand Name
MY7ITLBAL7W4Z6,MYWPX961U5TY8I,VCPM,MY04S1XX258NHV,312321,721,34322.80000000005,0,0,0.0,0.0,32370.0,32370.0,0.0,27.0,0.0,27.0,0.9431,CMP-Jompers-Mar18,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,50000.0,Men's Work Wear,Jompers_Men's Ocassion Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,20761,Jompers
MYRBN3UBJUVJH9,MYOLVONPYWW1RW,VCPM,MY05O562ITGC3B,318742,187,34376.10000000011,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMP-Invictus-Mar18,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,50000.0,Men's Casual Wear,Invictus_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7659,INVICTUS
MYQBSHXNO3OFSR,MYCZJIKD5OKQW2,VCPM,MY091KA0YQNR8O,204,13,41.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snitch_11th March_vCPM_TEST,Mon Mar 11 00:00:00 IST 2024,Wed Mar 13 23:59:59 IST 2024,ENDED,50000.0,Men's Casual Wear,Snitch_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,83714,Snitch
MYPLJJFK3EBWQD,MYQRCHHUBY5NYP,VCPM,MY0ANUS97OYPVC,74753,2498,18042.80000000002,0,0,0.0,0.0,187.0,187.0,0.0,1.0,0.0,1.0,0.0104,CMP-TRESemme-March-12,Tue Mar 12 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Personal Care,Tresemme_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7193,TRESemme
MYKVM0B7HCZVH6,MYPA4JY3DC0WCP,VCPM,MY1A409H0VETXU,120935,3539,22227.44999999997,0,0,0.0,0.0,2589.0,2589.0,0.0,6.0,0.0,6.0,0.1165,Lakme_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Personal Care,Lakme _Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,3918,Lakme
MYKVM0B7HCZVH6,MYZTL7W8W3KB5T,BPVS,MY1A409H0VETXU,12354,118,0.0,0,0,0.0,0.0,213.0,213.0,0.0,1.0,0.0,1.0,0.0,Lakme_Test_26th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Personal Care,Lakme _Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,3918,Lakme
MYPLJJFK3EBWQD,MYPLK9ACH1KPLC,BPVS,MY1EJ43FL4DCZA,988,78,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRESemme_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Personal Care,Tresemme_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7193,TRESemme
MYPMYW8SQFQ963,MYEIMZTC87ZRZM,VCPM,MY1R12KVVMO7I9,3726,188,727.6500000000003,0,0,0.0,0.0,3524.0,3524.0,0.0,2.0,0.0,2.0,4.843,Test_Rohit_26th_Feb_Campaign,Mon Feb 26 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,BUDGET_MET,10000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MYQBSHXNO3OFSR,MYALB1CU2U4I33,VCPM,MY1ZROQMJOMI3B,2173,146,400.8,0,0,0.0,0.0,1409.0,1409.0,0.0,1.0,0.0,1.0,3.5155,Snitch_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Men's Casual Wear,Snitch_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,83714,Snitch
MYQBSHXNO3OFSR,MYI58KXUFYNVI5,BPVS,MY1ZROQMJOMI3B,3318,355,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snitch_Test_25th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Snitch_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,83714,Snitch
